file,sample_id,cdr_level,issue
cdr_0/one_person_description/cdr_0_voice1_male_daily_life_0066.json,cdr_0_voice1_male_daily_life_0066,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice1_male_daily_life_0109.json,cdr_0_voice1_male_daily_life_0109,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice1_male_daily_life_0279.json,cdr_0_voice1_male_daily_life_0279,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice1_male_medicine_routine_0058.json,cdr_0_voice1_male_medicine_routine_0058,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice1_male_picture_description_0147.json,cdr_0_voice1_male_picture_description_0147,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice2_female_daily_life_0186.json,cdr_0_voice2_female_daily_life_0186,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice2_female_market_0061.json,cdr_0_voice2_female_market_0061,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice2_female_picture_description_0039.json,cdr_0_voice2_female_picture_description_0039,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice3_male_clinic_0085.json,cdr_0_voice3_male_clinic_0085,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice3_male_family_0273.json,cdr_0_voice3_male_family_0273,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice3_male_home_0112.json,cdr_0_voice3_male_home_0112,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice3_male_home_0263.json,cdr_0_voice3_male_home_0263,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice3_male_market_0224.json,cdr_0_voice3_male_market_0224,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice3_male_picture_description_0022.json,cdr_0_voice3_male_picture_description_0022,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice3_male_picture_description_0032.json,cdr_0_voice3_male_picture_description_0032,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice3_male_picture_description_0049.json,cdr_0_voice3_male_picture_description_0049,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice3_male_picture_description_0194.json,cdr_0_voice3_male_picture_description_0194,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice4_female_clinic_0160.json,cdr_0_voice4_female_clinic_0160,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice4_female_family_0254.json,cdr_0_voice4_female_family_0254,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice4_female_market_0287.json,cdr_0_voice4_female_market_0287,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice4_female_picture_description_0052.json,cdr_0_voice4_female_picture_description_0052,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice4_female_picture_description_0141.json,cdr_0_voice4_female_picture_description_0141,0,CDR 0 has too many pause events for normal speech
cdr_0/one_person_description/cdr_0_voice4_female_picture_description_0165.json,cdr_0_voice4_female_picture_description_0165,0,CDR 0 has too many pause events for normal speech
cdr_0/two_person_conversation/cdr_0_voice3_male_clinic_0191.json,cdr_0_voice3_male_clinic_0191,0,CDR 0 has too many pause events for normal speech
cdr_0/two_person_conversation/cdr_0_voice3_male_home_0104.json,cdr_0_voice3_male_home_0104,0,CDR 0 has too many pause events for normal speech
cdr_0/two_person_conversation/cdr_0_voice3_male_medicine_routine_0297.json,cdr_0_voice3_male_medicine_routine_0297,0,CDR 0 has too many pause events for normal speech
cdr_0/two_person_conversation/cdr_0_voice4_female_family_0131.json,cdr_0_voice4_female_family_0131,0,CDR 0 has too many pause events for normal speech
cdr_0/two_person_conversation/cdr_0_voice4_female_market_0123.json,cdr_0_voice4_female_market_0123,0,CDR 0 has too many pause events for normal speech
cdr_0_5/one_person_description/cdr_0_5_voice1_male_clinic_0562.json,cdr_0_5_voice1_male_clinic_0562,0.5,CDR 0.5 may be too impaired
cdr_0_5/one_person_description/cdr_0_5_voice1_male_clinic_0574.json,cdr_0_5_voice1_male_clinic_0574,0.5,CDR 0.5 may be too impaired
cdr_0_5/one_person_description/cdr_0_5_voice1_male_daily_life_0364.json,cdr_0_5_voice1_male_daily_life_0364,0.5,CDR 0.5 may be too impaired
cdr_0_5/one_person_description/cdr_0_5_voice1_male_daily_life_0366.json,cdr_0_5_voice1_male_daily_life_0366,0.5,CDR 0.5 may be too impaired
cdr_0_5/one_person_description/cdr_0_5_voice1_male_daily_life_0384.json,cdr_0_5_voice1_male_daily_life_0384,0.5,CDR 0.5 may be too impaired
cdr_0_5/one_person_description/cdr_0_5_voice1_male_daily_life_0384.json,cdr_0_5_voice1_male_daily_life_0384,0.5,word_finding_count is not visibly supported
cdr_0_5/one_person_description/cdr_0_5_voice1_male_daily_life_0413.json,cdr_0_5_voice1_male_daily_life_0413,0.5,CDR 0.5 may be too impaired
